"date","real","first_dose","new_dose1","avg_daily_first_dose","pct"
2021-06-11,"Projected",178298.428571429,NA,1174.14285714286,0.849108873439416
2021-06-12,"Projected",179472.571428572,NA,1174.14285714286,0.854700482556073
2021-06-13,"Projected",180646.714285715,NA,1174.14285714286,0.860292091672729
2021-06-14,"Projected",181820.857142858,NA,1174.14285714286,0.865883700789385
2021-06-15,"Projected",182995,NA,1174.14285714286,0.871475309906042
2021-06-16,"Projected",184169.142857143,NA,1174.14285714286,0.877066919022698
2021-06-17,"Projected",185343.285714286,NA,1174.14285714286,0.882658528139355
2021-06-18,"Projected",186517.428571429,NA,1174.14285714286,0.888250137256011
2021-06-19,"Projected",187691.571428572,NA,1174.14285714286,0.893841746372668
2021-06-20,"Projected",188865.714285715,NA,1174.14285714286,0.899433355489324
2021-06-21,"Projected",190039.857142858,NA,1174.14285714286,0.905024964605981
2021-06-22,"Projected",191214,NA,1174.14285714286,0.910616573722637
2021-06-23,"Projected",192388.142857143,NA,1174.14285714286,0.916208182839294
2021-06-24,"Projected",193562.285714286,NA,1174.14285714286,0.92179979195595
2021-06-25,"Projected",194736.428571429,NA,1174.14285714286,0.927391401072606
2021-06-26,"Projected",195910.571428572,NA,1174.14285714286,0.932983010189263
2021-06-27,"Projected",197084.714285715,NA,1174.14285714286,0.938574619305919
2021-06-28,"Projected",198258.857142858,NA,1174.14285714286,0.944166228422576
2021-06-29,"Projected",199433.000000001,NA,1174.14285714286,0.949757837539232
2021-06-30,"Projected",200607.142857143,NA,1174.14285714286,0.955349446655889
2021-07-01,"Projected",201781.285714286,NA,1174.14285714286,0.960941055772545
2021-07-02,"Projected",202955.428571429,NA,1174.14285714286,0.966532664889201
2021-07-03,"Projected",204129.571428572,NA,1174.14285714286,0.972124274005858
2021-07-04,"Projected",205303.714285715,NA,1174.14285714286,0.977715883122514
2021-07-05,"Projected",206477.857142858,NA,1174.14285714286,0.983307492239171
2021-07-06,"Projected",207652.000000001,NA,1174.14285714286,0.988899101355827
2021-07-07,"Projected",208826.142857144,NA,1174.14285714286,0.994490710472484
2021-07-08,"Projected",210000.285714286,NA,1174.14285714286,1.00008231958914
